NAME,LATITUDE,LONGITUDE
SHANGRI LA BOSPHORUS DELUXE ROOM,41.04136,29.0042
SWISSOTEL THE ISTANBUL ADVANTAGE GARDEN ROOM,41.04224,28.99813
HAGIA SOPHIA MANSION,41.00715,28.97995
RADISSON BLU PERA SUPERIOR GOLDEN HORN VIEW ROOM,41.03069,28.97234
AJWA HOTELS CITY VIEW ROOM,41.0059,28.96975
RADISSON BLU SISLI STANDART ROOM,41.06027,28.98893
DIVAN ISTANBUL SUPERIOR ROOM,41.03931,28.98762
PERA PALACE DELUXE PERA SIDE ROOM,41.03125,28.97328
DOUBLE TREE BY HILTON MODA STANDART ROOM,40.98884,29.02207
GEZI BOSPHORUS DELUXE CITY VIEW ROOM,41.03781,28.98722
CONRAD ISTANBUL BOSPHORUS PARK SUITE KING,41.0474,29.01008
RIXOS PERA ISTANBUL DELUXE ROOM,41.03423,28.97553
SIRKECI MANSION STANDART ROOM,41.012,28.97894
SURA DESIGN HOTEL DELUXE ROOM,41.00987,28.97559
DOUBLE TREE BY HILTON SIRKECI DELUXE ROOM,41.0142,28.97854
BARCELO İSTANBUL SUPERIOR ROOM,41.04181,28.98435
ERESIN SULTANAHMET HOTEL STANDART ROOM,41.00331,28.97508
HYATT REGENCY STANDART ROOM,40.97584,28.85829
SULTANIA HOTEL STANDART ROOM,41.0124,28.9772
METROPOLITAN HOTEL BOSPHORUS DELUXE ROOM,41.03164,28.98764
THE GALATA HOTEL ISTANBUL SUPERIOR ROOM,41.02318,28.97187
DOSSO DOSSI OLD CITY STANDART ROOM,41.00917,28.9779
MERCURE CITY BOSPHORUS CITYVIEW ROOM,41.06297,29.01074
MERCURE ISTANBUL TAKSIM STANDART ROOM,41.03743,28.99336
TITANIC CITY TAKSIM SUPERIOR ROOM,41.04015,28.98485
CROWNE PLAZA OLD CITY STANDART ROOM,41.01023,28.95859
PARK DEDEMAN LEVENT SUPERIOR ROOM,41.07927,29.01144
THE CENTRAL PALACE TAKSIM STANDART ROOM,41.03994,28.9859
WYNDHAM GRAND KALAMIS MARINA DELUXE ROOM,40.9763,29.04194
DOUBLE TREE BY HILTON TUZLA GUEST ROOM,40.84522,29.29542
GRAND ÖZTANIK HOTEL,41.03953,28.98458
ARDEN CITY HOTEL STANDART ROOM,41.01089,28.97594
ERESIN TAXIM PREMIER STANDART ROOM,41.04067,28.98317
LEVNI HOTEL STANDART ROOM,41.01166,28.97619
METROPOLITAN TAKSIM STANDART ROOM,41.04165,28.98313
TITANIC PORT BAKIRKOY SUPERIOR ROOM,40.97652,28.87078
ERESIN TOPKAPI HOTEL STANDART ROOM,41.02036,28.92686
FAROS HOTEL OLD CITY STANDART ROOM,41.00955,28.9745
THE PRESIDENT HOTEL STANDART ROOM,41.00894,28.9666
AMETHYST HOTEL,41.00858,28.95595
KENT HOTEL STANDART ROOM,41.00954,28.96166
WISH MORE HOTEL STANDART ROOM,41.04852,28.89819
YASMAK SULTAN HOTEL STANDART ROOM,41.01341,28.97797
HALİFAKS HOTEL İSTANBUL,41.05772,28.98907
HILTON İSTANBUL KOZYATAĞI,40.98654,29.0852
GOLDEN CITY HOTEL STANDART ROOM,41.02347,28.96944
OCCIDENTAL PERA ISTANBUL STANDART ROOM,41.03429,28.97539
BEETHOVEN PREMIUM STANDART ROOM,41.01046,28.95535
DEDEMAN ISTANBUL SUPERIOR ROOM,41.06475,29.00952
PIERRE LOTI STANDART ROOM,41.00784,28.97196
YUKSEL YENIKAPI HOTEL STANDART ROOM,41.00643,28.94648
GRAND GULSOY HOTEL,41.0138,28.95708
AVANTGARDE COLLECTION TAKSİM STANDART ROOM,41.03704,28.98697
BLUE HOUSE HOTEL ECONOMY ROOM,41.00485,28.98004
LARES PARK STANDART ROOM,41.04097,28.98515
RAMADA GOLDEN HORN STANDART ROOM,41.05355,28.94496
RAMADA ISTANBUL GRAND BAZAAR STANDART ROOM,41.01148,28.95387
SUMENGEN HOTEL SUPERIOR ROOM,41.00343,28.97912
THE PEAK HOTEL COMFORT ROOM,41.0294,28.97486
TITANIC BUSINESS GOLDEN HORN SUPERIOR ROOM,41.04499,28.91384
GRAND WASHINGTON HOTEL,41.01037,28.95655
HOLIDAY INN İSTANBUL CITY HOTEL,41.01762,28.92628
KLAS HOTEL STANDART ROOM,41.0113,28.95889
BIANCHO HOTEL DELUXE ROOM,41.0291,28.97221
CITY CENTER HOTEL STANDART ROOM,41.0346,28.98475
GOLDEN HORN SIRKECI STANDART ROOM,41.01364,28.97622
KONAK HOTEL SUPERIOR ROOM,41.04362,28.98732
MARBLE HOTEL STANDART ROOM,41.03488,28.98567
AVICENNA HOTEL STANDART ROOM,41.00343,28.97871
NOWY EFENDI HOTEL STANDART ROOM,41.0089,28.97501
GREEN PARK PENDİK,40.8987,29.26444
DARKHILL HOTEL STANDART ROOM,41.00834,28.96077
GRAND ASIYAN HOTEL,41.00658,28.95454
GRAND MARCELLO HOTEL,41.00919,28.95674
BLACK BIRD HOTEL DELUXE ROOM,41.01326,28.95525
HURRY IN MERTER STANDART ROOM,41.0098,28.8925
NAUMPASA KONAGI STANDART ROOM,41.03501,28.98353
YUSUF PASA KONAGI STANDART ROOM,41.00541,28.97957
GRAND HALIC HOTEL,41.02856,28.97308
GRAND HOTEL DE PERA,41.03346,28.9742
ALMINA HOTEL SPECIAL İSTANBUL,41.00346,28.97806
AMBER HOTEL STANDARD ROOM,41.00581,28.96579
ARENA HOTEL STANDART ROOM,41.00363,28.97343
CLARION HOTEL GOLDEN HORN  STANDART ROOM,41.06012,28.95157
ELITE WORLD BUSINESS HOTEL DELUXE ROOM,40.98868,28.79207
RECITAL HOTEL STANDART ROOM,41.00745,28.97147
TRIA HOTEL STANDART ROOM,41.00448,28.98181
MANESOL BOUTIQUE STANDART ROOM,41.01652,28.97674
GRAND HILARIUM HOTEL,41.00642,28.95452
HOLIDAY INN ISTANBUL AIRPORT STANDART ROOM,41.05462,28.81206
CARLTON HOTEL STANDART ROOM,41.0115,28.95733
DARKMEN HOTEL STANDART ROOM,41.00753,28.95513
GLAMOUR HOTEL STANDART ROOM,41.01336,28.97698
MARRIOT COURTYARD STANDART ROOM,41.02956,28.80849
RETAJ ROYALE STANDART ROOM,41.02827,28.81326
SABA HOTEL STANDART ROOM,41.00409,28.97495
GORRION HOTEL,41.00366,28.82266
HAMİDİYE HOTEL,41.0129,28.95832
ANTEA PALACE HOTEL STANDARD ROOM,41.00479,28.97036
FERONYA HOTEL STANDART ROOM,41.04,28.98306
LADY DIANA STANDART ROOM,41.00587,28.97467
MOMENTO HOTEL STANDART ROOM,41.00889,28.96376
SARNIC HOTEL ISTANBUL STANDART ROOM,41.00466,28.97633
ANTİK HOTEL,41.00845,28.96164
ORAN HOTEL STANDART ROOM,41.01097,28.95747
PRESTIGE HOTEL STANDART ROOM,41.00836,28.95819
GRAND DURMAZ HOTEL,41.01072,28.95272
GRAND YAVUZ HOTEL,41.00647,28.96847
ASPEN HOTEL STANDART ROOM,41.00683,28.95395
BEKDAŞ HOTEL STANDART ROOM,41.00723,28.95997
CARTOON HOTEL STANDART ROOM,41.03659,28.98278
GRAND ANKA HOTEL,41.01156,28.94041
GRAND ÜNAL HOTEL,41.00697,28.95391
HOTEL ERDEN SARAYEVO,41.0066,28.95667
ELAN HOTEL STANDART ROOM,41.02964,28.9743
GOLDEN HORN ISTANBUL STANDART ROOM,41.01418,28.97773
ORKA ROYAL STANDART ROOM,41.01453,28.97895
THE BYZANTIUM HOTEL STANDART ROOM,41.00474,28.97974
TILIA HOTEL STANDART ROOM,41.01262,28.95627
HOTEL İSTANBUL TREND,41.0074,28.95393
VISION DELUXE HOTEL STANDART ROOM,41.01169,28.95495
BAZAAR HOTEL STANDART ROOM,41.00918,28.95748
BİLİNÇ HOTEL STANDART ROOM,41.00916,28.96343
ORIENT EXPRESS STANDART ROOM,41.01211,28.97834
AKGÜN HOTEL STANDARD ROOM,41.02387,28.9311
WOW ISTANBUL HOTEL STANDART ROOM,41.01712,28.78769
ALL SEASONS HOTEL İSTANBUL,41.01308,28.94157
BERGAMA HOTEL STANDART ROOM,41.01101,28.95601
MEGARE PALACE STANDART ROOM,41.00766,28.9806
GRAND EMIN HOTEL,41.00524,28.95482
BUYUK SAHINLER HOTEL STANDART ROOM,41.0062,28.95537
ILKBAL DELUXE HOTEL STANDART ROOM,41.00872,28.95787
MARMARAY HOTEL STANDART ROOM,41.0065,28.95416
RAMADA ISTANBUL MERTER STANDART ROOM,41.01365,28.87656
BUDO HOTEL STANDART ROOM,41.01079,28.95363
DELUXE NEWPORT HOTEL STANDART ROOM,41.00782,28.97051
GRAND ANT HOTEL,41.00607,28.95355
GRAND ONS HOTEL,41.00793,28.95496
BARIN HOTEL STANDART ROOM,41.01228,28.95591
BLUE MARMARAY HOTEL STANDART ROOM,41.0106,28.95375
CENTRUM ISTANBUL HOTEL STANDART ROOM,41.01432,28.9778
CONTINENTAL TUNEL RESIDENCE STANDART ROOM,41.02776,28.97221
OLIMPIYAT HOTEL STANDART ROOM,41.0117,28.97723
CLARION HOTEL MAHMUTBEY STANDART ROOM,41.0553,28.81903
REAL STAR HOTEL STANDART ROOM,41.01236,28.94176
HALI HOTEL İSTANBUL,41.00781,28.97258
HOTEL LE MIRAGE STANDART ROOM,41.05503,28.98461
THE CITY HOTEL ISTANBUL STANDART ROOM,41.00802,28.94726
AYASOFYA HOTEL STANDART ROOM,41.0037,28.97252
WOW AIRPORT HOTEL STANDART ROOM,41.01765,28.7867
GRAND PAMİR HOTEL,41.01298,28.95408
BİRBEY HOTEL STANDART ROOM,41.01297,28.95377
KUPELI PALACE STANDART ROOM,41.00406,28.96849
MATIAT HOTEL STANDART ROOM,41.00544,28.95422
MY BADE HOTEL DELUXE ROOM,41.06179,28.98822
SULTAN HOTEL STANDART ROOM,41.00999,28.95574
VIZON HOTEL STANDART ROOM,41.0547,28.99153
SANTA SOPHIA STANDART ROOM,41.00755,28.97003
KAYA MADRID STANDART ROOM,41.01225,28.9532
NANDA HOTEL STANDART ROOM,41.00857,28.95855
SABENA HOTEL STANDART ROOM,41.01795,28.92795
VERSION HOTEL STANDART ROOM,41.00636,28.95773
PELICAN HOUSE STANDART ROOM,41.00626,28.95161
MAY HOTEL STANDART ROOM,41.00653,28.96452
PARK INN BY RADISSON ISTANBUL STANDART ROOM,41.09168,29.09364
ABEL HOTEL ISTANBUL,41.00476,28.95439
SUREYYA HOTEL DELUXE ROOM,41.00965,28.95987
FORS HOTEL STANDART ROOM,41.00586,28.9675
SAHINLER HOTEL STANDART ROOM,41.00852,28.95707
SEVCAN HOTEL STANDART ROOM,40.98825,28.79715
BUYUK PARIS HOTEL STANDART ROOM,41.00914,28.9565
GÜNEŞ HOTEL MERTER STANDARD DOUBLE ROOM,41.00846,28.8942
IBIS ISTANBUL ESENYURT STANDART ROOM,41.00649,28.66386
GRAND MARK HOTEL,41.00448,28.9642
GRAND MILAN HOTEL,41.00583,28.95554
GRAND LIZA HOTEL,41.00562,28.96402
luxury 10+3 villa in istanbul with amazing view,41.04333,28.50577
beykoz villa with 2 pool and garden,41.13184,29.094
Luxury villa 7+2  n zekeryakoy w pool& sauna,41.19883,29.02734
Awesome 7br villa w pool&sauna n zekereyakoy,41.19915,29.02832
Luxury villa 6 bedrooms w pool &sauna,41.04342,28.50451
Awesome 6 bd villa w pool and garden w nice view,41.04502,28.5071
Private villa w garden & pool bc,41.04247,28.50745
Awesome 5 bedroom villa w private pool & garden,41.04172,28.50324
luxury apt n Istanbul maslak nice views n balcony,41.1324,29.04211
Awesome 2br apt w pool&saun & fitness n taksim,41.04307,28.98211
Super deluxe apt w Belgrad forest view n maslak,41.11997,29.00776
Istanbul furnished apartments ka,41.07927,28.98906
Spacious 3 bedroom apt in the centre,41.08432,28.98675
Comfort 2+1 apt w pool &sauna 6 min to taksim,41.04177,28.98297
beautiful 4bedroom apartment in the center,41.08276,28.98623
3 bedroom deluxe apartment in istanbul,41.08459,28.98628
Sisli mosque apartment near cevaher mall,41.06225,28.98724
Nice 4 bedroom apartment in istanbul kagithane,41.08784,28.98642
Flat for rent in taksim 30 meter from maydan,41.03933,28.98376
Istanbul Super delux apartments near taksim maydan,41.04178,28.98311
Taksim delux apartment with swimming pool,41.04218,28.98195
Nice 3bedroom apartments in the center,41.08414,28.98674
Spacious 2+1 apt 500 m f sisli metro for 9 persons,41.06796,28.99474
Vip apartments in istanbul near the center,41.08443,28.98515
Luxury 2 bedroom apartments 09,41.08449,28.98581
Spacious 3br apt w2bath in da center,41.08293,28.98641
Deluxe 2+1 apt 4minut walking to sisli metro f 8 p,41.06865,28.99447
Luxury 2 bedroom apts 02,41.08412,28.98652
Super delux taksim apartment,41.04154,28.98181
Taksim Delux Apartment,41.042,28.98394
Istanbul Sisli apartments near metrostation,41.0468,28.98652
Awesom 3 bedroom apartment in istanbul,41.0828,28.99371
Istanbul apartments near the shopping centers,41.08054,28.99283
Spacious 2 bedroom apt near the shopping centre,41.08262,28.98534
Istanbul nice apartments vb,41.08837,28.99522
Comfort 2 bedroom apt for 6 persons,41.08437,28.98698
Three bedroom apartment in the center w2 bath,41.08283,28.98623
Nice 3bedroom apartment in Istanbul with 2 bath,41.08343,28.98708
Awesome three bedroom apt n the center,41.08489,28.98654
Spacious 1bd apt w pool& fitness 650 m taksim m,41.04241,28.9822
Awesome 1bd apt n taksim w pool & restaurant 5 ppl,41.04146,28.98478
Vb suites istanbul,41.08374,28.98361
modern istanbul apartment in the center,41.07695,28.98264
Luxury 2 bedroom apartments near shopping mall,41.08259,28.98708
Specious apt n Istanbul sisli 2 minutes 2 metro,41.05072,28.98602
Spacious 2br flat in the center for 6 persons,41.08276,28.98476
Comfort 2br apt in the center near shopping mall,41.08274,28.98633
Istanbul apartment  with balcony view & breakfast,41.08265,28.97135
Spacious luxurious 1 brd 3minute  to taksim square,41.0428,28.984
Spacious 2 bdr apt n da centre deluxe furniture,41.08284,28.98513
Awesome apartments ka in iastanbul,41.08579,28.99172
Comfort apt  in sisli kagithane for 5 persons,41.08281,28.98474
Awesome 2+1 apartments in Istanbul nice district,41.1774,29.06536
Spacious 1 br apt near sisli metro station,41.04921,28.98686
Luxury 2 bedroom apartment in sisli mecedeyehkoy,41.08279,28.98558
modern apartment in istanbul near sisli mosque,41.06121,28.98883
Specious apartment in Istanbul near metro station,41.0506,28.98617
Elegant studio in city centre,41.04923,28.98748
Awesome 2 bedroom apartment in the center f6 p,41.08423,28.98508
Luxury 2 br  apt 2 m from shopping mall,41.08301,28.98687
modern studio in istanbul near sisli mosque,41.06308,28.98755
One bedroom apartment in kagithane Istanbul,41.08394,28.98652
Elegant studio near metro station,41.06171,28.98694
Awesome one bedroom apt n da center w balcony,41.08501,28.98533
Deluxe apartment in taksim w pool & fitness,41.04251,28.98334
Comfort 2br apt n kagithane near shopping centre,41.08312,28.98487
* True spirit of Turkish hospitality,41.00315,28.97436
** Fantastic Room with a sea view,41.00277,28.97415
*** Super room with balcony in the old city,41.00348,28.97876
** Fantastic room with a sea view **,41.00376,28.97442
Cozy Flat with kitchen and bathroom,41.00361,28.98086
** Sea-view room w/balcony in Sultanahmet2,41.00275,28.97415
** Stay here and explore Istanbul,41.00273,28.97416
** Sea View Room in The Old City,41.00274,28.97417
** Sea view room w/balcony in Sultanahmet,41.00273,28.97415
** Super Sea view room  Sultanahmet **,41.00274,28.97417
** The best location and hospitality!,41.00262,28.97413
Private Studio Flat by Kadir Has University,41.02059,28.9571
** Five minutes walking to Hagia Sophia,41.00267,28.97413
** Million thks for over 1900reviews,41.00274,28.97416
* Walk 2 Blue Mosque & Hagia Sophia,41.00315,28.97443
** Perfect vacation room in Downtown,41.00277,28.97414
** Deniz Houses Hotel-Million thx for 1000review,41.00264,28.97411
* Sultans Inn Hotel Million thanks for 1000reviews,41.00316,28.97436
** Stay in Economy Room,41.00274,28.97414
** Fantastic  sea view room *,41.00277,28.97415
** Super Room w/ Sea-view  in Old City Sultanahmet,41.00279,28.97418
** Private  Room w/bath  A/C in Sultanahmet,41.00271,28.97421
* Million thx for over 1000reviews,41.00316,28.97437
* BEAUTIFUL DOUBLE ROOM B&B,41.00316,28.97444
Cosy studio flat w/ kitchenette,41.0063,28.96519
** Amazing room w/private bath in Sultanahmet,41.00274,28.97416
*** Sea-View  Room in The Old City,41.00347,28.97875
** Comfy Room Very Well Situated,41.00274,28.97413
* True spirit of Turkish hospitality----,41.00316,28.97436
* SUPER ROOM - SUPER LOCATION,41.00316,28.97436
** Walking Distance to Blue Mosque Private Room,41.00276,28.97415
** Private Room 5 minutes walking to Blue Mosque,41.00275,28.97415
*** SUPER ROOM GREAT STAY,41.00348,28.97874
* Room Taste of Real İstanbul,41.00316,28.97435
* Super Room with Private Bath,41.00315,28.97443
** The best location and hospitality2,41.00278,28.97415
** Deniz Houses Hotel-Double room Sultanahmet,41.00266,28.97412
* True spirit of Turkish hospitality ---,41.00314,28.97438
*** Naz Wooden House Inn-Economy Room★Free Bfast,41.00347,28.97876
"** Central, Easy Access in Sultanahmet",41.00277,28.97414
* Beautiful twin bedded room in Sultanahmet,41.00315,28.97442
"*** Cozy Room with private bath,Sultanahmet",41.00348,28.97876
** Economy  Room w/breakfast in Sultanahmet,41.00271,28.97421
** BIG DISCOUNT FOR ECONOMY ROOM B&B,41.00271,28.97421
* Best Location Cozy Room,41.00314,28.97441
* Million thanks for over 1000reviews,41.00317,28.97443
* Centrally Located Private Room,41.00316,28.97435
* Nice Room in Old City,41.00316,28.97444
* Twin bed - All you need is comfort**,41.00316,28.97443
* All historical places are walking distance,41.00316,28.97436
* Budget  Room w/breakfast/Old City,41.00292,28.97507
*** Naz Wooden House  Inn - old city of Istanbul,41.00348,28.97876
*** Amazing Room in Old City,41.00347,28.97875
* Sultan's Inn - Pretty room in Sultanahmet,41.00314,28.97442
*** Naz Wooden Amazing Room in The Old City,41.00349,28.97875
* Sultan's Inn Hotel- Excellent Stay,41.00332,28.97439
*** Discount offer for Economy  Room,41.00346,28.97877
Full Equipped Private Flat by Kadir Has University,41.02209,28.95814
*** Economy room 2 min walk blue mosque,41.00345,28.97875
10 mins walk to Beyazit Square - Private room,41.00618,28.96698
Private room w/bath near Istanbul University,41.00656,28.96672
Studio Private Flat w/ Kitchenette by Grand Bazaar,41.00628,28.96685
*** Cozy room  thanks for your reviews,41.00349,28.97876
* Sultan’s Inn - Private Room & Central Location,41.00333,28.97439
* Comfortable Room & Budget Stay in Sultanahmet,41.00307,28.97522
